PDB_ID,Heteroatom_Code,Chemical_Name,SMILES,Tanimoto_Similarity,Formula
3EQM,ASD,4-ANDROSTENE-3-17-DIONE,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,0.1064,C19 H26 O2
3S79,ASD,4-ANDROSTENE-3-17-DIONE,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,0.1064,C19 H26 O2
4KQ8,ASD,4-ANDROSTENE-3-17-DIONE,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,0.1064,C19 H26 O2
5JKV,ASD,4-ANDROSTENE-3-17-DIONE,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,0.1064,C19 H26 O2
5JL6,ASD,4-ANDROSTENE-3-17-DIONE,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,0.1064,C19 H26 O2
5JL7,ASD,4-ANDROSTENE-3-17-DIONE,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,0.1064,C19 H26 O2
5JL9,ASD,4-ANDROSTENE-3-17-DIONE,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,0.1064,C19 H26 O2
